Source,Target,Association
REF_HANA_SLT_PRD_SD_DS/VBAP,REF_HANA_SLT_PRD_SD_DS/VBAP/VBELN,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS,REF_HANA_SLT_PRD_SD_DS/KNA1,core.DataSourceParentChild
REF_HANA_SLT_PRD_SD_DS/KNA1,REF_HANA_SLT_PRD_SD_DS/KNA1/KUNNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/KNA1,REF_HANA_SLT_PRD_SD_DS/KNA1/NAME1,core.DataSetToDataElementParentship
hana_calcviews_container,custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,core.DataSourceParentChild
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VBELN,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ERDAT,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/AUART,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/KUNNR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/CUSTOMER_NAME,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ARKTX,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
