core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.FieldType
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/description,description,description,description,description,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_potential_impact,Potential lmpact,simpfy_challenges_vw.potential_impact,Potential lmpact,Potential lmpact,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/potential_impact,potential_impact,potential_impact,potential_impact,potential_impact,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_planned_actions,Resolution Actions,simpfy_challenges_vw.planned_actions,Resolution Actions,Resolution Actions,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/planned_actions_resolution_actions,planned_actions(resolution actions),planned_actions(resolution actions),planned_actions(resolution actions),planned_actions(resolution actions),,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_risk_level,Risk Level,simpfy_challenges_vw.risk_level,Risk Level,Risk Level,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_challenge_type,Challenge Type,simpfy_challenges_vw.challenge_type,Challenge Type,Challenge Type,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/challenge_type,challenge_type,challenge_type,challenge_type,challenge_type,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_CombinedResolutionPartners2,Resolution Partners,simpfy_challenges_vw.CombinedResolutionPartners2,Resolution Partners,Resolution Partners,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/CombinedResolutionPartners2,CombinedResolutionPartners2,CombinedResolutionPartners2,CombinedResolutionPartners2,CombinedResolutionPartners2,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw___ProjectName_Combined,Project Names,"simpfy_challenges_vw.""""ProjectName_Combined",Project Names,Project Names,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/ProjectName_Combined,"""""ProjectName_Combined","""""ProjectName_Combined","""""ProjectName_Combined","""""ProjectName_Combined",,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_Status,Status,simpfy_challenges_vw.Status,Status,Status,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/Status,Status,Status,Status,Status,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual7_card/CountNonNull_simpfy_challenges_vw_challange_id,Count of challange_id,CountNonNull(simpfy_challenges_vw.challange_id),Count of challange_id,Count of challange_id,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual8_slicer/Unique_Projects_project_name,Project Name,Unique_Projects.project_name,Project Name,Project Name,,Source Column
Simpfy_project_96010eb4/ds_Unique_Projects/project_name,project_name,project_name,project_name,project_name,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual9_slicer/simpfy_challenges_vw_challange_partner,Resolution partner,simpfy_challenges_vw.challange_partner,Resolution partner,Resolution partner,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/challange_partner,challange_partner,challange_partner,challange_partner,challange_partner,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual10_slicer/simpfy_challenges_vw_Status,Status,simpfy_challenges_vw.Status,Status,Status,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual11_slicer/simpfy_challenges_vw_risk_level,Risk level,simpfy_challenges_vw.risk_level,Risk level,Risk level,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual12_slicer/simpfy_challenges_vw_Challenge_status,Challenge Status,simpfy_challenges_vw.Challenge status,Challenge Status,Challenge Status,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/Challenge_status,Challenge status,Challenge status,Challenge status,Challenge status,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual13_slicer/simpfy_challenges_vw_segment_name,Segment,simpfy_challenges_vw.segment_name,Segment,Segment,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual1_donutChart/CountNonNull_simpfy_projects_vw_project_name,Count of projects,CountNonNull(simpfy_projects_vw.project_name),Count of projects,Count of projects,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual1_donutChart/LastMilestonesTable_LastMilestoneStatus,LastMilestoneStatus,LastMilestonesTable.LastMilestoneStatus,LastMilestoneStatus,LastMilestoneStatus,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual2_donutChart/simpfy_projects_vw_project_stage,Project stage,simpfy_projects_vw.project_stage,Project stage,Project stage,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Project_Stage,Project Stage,Project Stage,Project Stage,Project Stage,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual2_donutChart/simpfy_projects_vw_project_type,Project type,simpfy_projects_vw.project_type,Project type,Project type,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual2_donutChart/CountNonNull_simpfy_projects_vw_project_version_id,Count of Projects,CountNonNull(simpfy_projects_vw.project_version_id),Count of Projects,Count of Projects,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual2_donutChart/simpfy_projects_vw_Total_cost_distinct_project_currency2,Total cost,simpfy_projects_vw.Total cost distinct project currency2,Total cost,Total cost,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual3_card/simpfy_projects_vw_Dynamic_display_unit_tc,Dynamic display unit_tc,simpfy_projects_vw.Dynamic display unit_tc,Dynamic display unit_tc,Dynamic display unit_tc,,Measure
